Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
154,[01:57:24.927],696.00,524.00,661.00,686.00,706.00,581.00
155,[01:57:24.967],688.00,578.00,689.00,683.00,672.00,578.00
156,[01:57:25.007],7188.0,7220.0,12533,12666,18801,15375
157,[01:57:25.047],49884,38304,49355,49130,48443,39939
158,[01:57:25.087],49795,38282,49134,49080,48350,39932
159,[01:57:25.128],18019,13739,12287,12278,5754.0,4844.0
160,[01:57:25.168],694.00,578.00,675.00,681.00,685.00,578.00
161,[01:57:25.208],689.00,510.00,664.00,691.00,674.00,578.00
162,[01:57:25.248],687.00,578.00,675.00,686.00,688.00,578.00
163,[01:57:25.288],700.00,670.00,695.00,677.00,681.00,578.00
164,[01:57:25.328],679.00,519.00,686.00,679.00,682.00,554.00
165,[01:57:25.368],676.00,578.00,684.00,675.00,690.00,578.00
166,[01:57:25.408],672.00,578.00,702.00,688.00,690.00,578.00
167,[01:57:25.448],673.00,519.00,685.00,690.00,708.00,563.00
168,[01:57:25.488],682.00,527.00,697.00,677.00,681.00,578.00
169,[01:57:25.529],690.00,578.00,682.00,692.00,698.00,578.00
170,[01:57:25.569],673.00,529.00,684.00,685.00,681.00,578.00
171,[01:57:25.609],689.00,578.00,684.00,673.00,688.00,578.00
172,[01:57:25.649],676.00,578.00,666.00,682.00,684.00,575.00
173,[01:57:25.689],682.00,578.00,689.00,691.00,695.00,578.00
174,[01:57:25.729],692.00,536.00,678.00,691.00,697.00,578.00
175,[01:57:25.769],682.00,578.00,680.00,677.00,672.00,578.00
176,[01:57:25.809],673.00,578.00,683.00,681.00,693.00,564.00
177,[01:57:25.849],673.00,670.00,685.00,689.00,688.00,578.00
178,[01:57:25.890],682.00,578.00,670.00,690.00,677.00,578.00
179,[01:57:25.930],683.00,531.00,690.00,667.00,667.00,578.00
180,[01:57:25.970],680.00,578.00,673.00,699.00,681.00,578.00
181,[01:57:26.011],10556,10629,15926,15919,22009,21984
182,[01:57:26.050],49728,38346,49284,49190,48438,48640
183,[01:57:26.090],49779,38420,49061,49384,48575,39834
184,[01:57:26.131],13455,10249,7866.0,7760.0,1406.0,1233.0
185,[01:57:26.170],673.00,578.00,692.00,683.00,685.00,556.00
186,[01:57:26.210],684.00,673.00,694.00,670.00,695.00,578.00
187,[01:57:26.251],708.00,578.00,687.00,705.00,673.00,578.00
188,[01:57:26.291],678.00,535.00,695.00,687.00,684.00,578.00
189,[01:57:26.331],696.00,578.00,679.00,697.00,692.00,578.00
190,[01:57:26.371],686.00,524.00,693.00,686.00,692.00,574.00
191,[01:57:26.411],690.00,578.00,697.00,685.00,684.00,578.00
