Tangra v3.8.0.0
Measurments of 1 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,7,80,2,00,NaN,yes,827,0,370,0,no


FrameNo,Time (UT),Signal (1), Background (1)
1420,[01:58:15.706],448.00,452.00
1421,[01:58:15.746],452.00,450.00
1422,[01:58:15.786],454.00,460.00
1423,[01:58:15.826],448.00,455.00
1424,[01:58:15.867],442.00,460.00
1425,[01:58:15.906],454.00,449.00
1426,[01:58:15.946],448.00,437.00
1427,[01:58:15.986],443.00,446.00
1428,[01:58:16.027],24155,24051
1429,[01:58:16.067],32490,32637
1430,[01:58:16.107],24654,24561
1431,[01:58:16.147],441.00,453.00
1432,[01:58:16.187],452.00,446.00
1433,[01:58:16.227],454.00,446.00
1434,[01:58:16.267],428.00,443.00
1435,[01:58:16.307],447.00,448.00
1436,[01:58:16.347],440.00,447.00
1437,[01:58:16.388],458.00,453.00
1438,[01:58:16.428],457.00,453.00
1439,[01:58:16.468],449.00,457.00
1440,[01:58:16.508],457.00,451.00
1441,[01:58:16.548],456.00,453.00
1442,[01:58:16.588],432.00,444.00
1443,[01:58:16.629],464.00,445.00
1444,[01:58:16.668],448.00,452.00
1445,[01:58:16.708],446.00,456.00
1446,[01:58:16.749],455.00,446.00
1447,[01:58:16.789],459.00,446.00
1448,[01:58:16.829],457.00,458.00
1449,[01:58:16.869],434.00,447.00
1450,[01:58:16.909],450.00,448.00
1451,[01:58:16.949],457.00,447.00
1452,[01:58:16.989],455.00,444.00
1453,[01:58:17.029],26355,26329
1454,[01:58:17.069],32700,32538
1455,[01:58:17.110],22403,22518
1456,[01:58:17.150],453.00,449.00
1457,[01:58:17.190],443.00,444.00
1458,[01:58:17.230],450.00,459.00
1459,[01:58:17.270],450.00,444.00
1460,[01:58:17.310],457.00,446.00
1461,[01:58:17.351],454.00,454.00
1462,[01:58:17.390],444.00,445.00
1463,[01:58:17.430],451.00,458.00
1464,[01:58:17.470],446.00,450.00
1465,[01:58:17.511],434.00,446.00
1466,[01:58:17.552],457.00,444.00
1467,[01:58:17.591],442.00,444.00
1468,[01:58:17.631],457.00,446.00
1469,[01:58:17.671],446.00,458.00
1470,[01:58:17.711],439.00,450.00
1471,[01:58:17.752],441.00,445.00
1472,[01:58:17.791],454.00,454.00
1473,[01:58:17.832],448.00,447.00
1474,[01:58:17.872],427.00,460.00
1475,[01:58:17.912],447.00,453.00
1476,[01:58:17.952],450.00,440.00
1477,[01:58:17.992],453.00,453.00
1478,[01:58:18.033],28608,28500
1479,[01:58:18.072],32550,32491
1480,[01:58:18.112],20213,20291
1481,[01:58:18.152],437.00,452.00
1482,[01:58:18.192],464.00,445.00
1483,[01:58:18.233],460.00,455.00
1484,[01:58:18.273],455.00,453.00
1485,[01:58:18.313],458.00,450.00
1486,[01:58:18.353],436.00,449.00
1487,[01:58:18.393],470.00,448.00
1488,[01:58:18.433],451.00,446.00
1489,[01:58:18.473],456.00,452.00
1490,[01:58:18.513],449.00,450.00
1491,[01:58:18.553],455.00,445.00
1492,[01:58:18.593],451.00,451.00
1493,[01:58:18.634],448.00,445.00
1494,[01:58:18.674],464.00,450.00
1495,[01:58:18.714],454.00,453.00
1496,[01:58:18.754],440.00,442.00
1497,[01:58:18.794],459.00,447.00
1498,[01:58:18.834],452.00,452.00
1499,[01:58:18.874],461.00,454.00
1500,[01:58:18.914],445.00,450.00
1501,[01:58:18.954],455.00,454.00
1502,[01:58:18.995],450.00,449.00
1503,[01:58:19.035],30743,30654
1504,[01:58:19.075],32648,32447
1505,[01:58:19.115],18153,18201
1506,[01:58:19.155],448.00,448.00
1507,[01:58:19.195],457.00,443.00
1508,[01:58:19.235],459.00,456.00
1509,[01:58:19.275],431.00,454.00
1510,[01:58:19.316],458.00,456.00
1511,[01:58:19.356],460.00,453.00
1512,[01:58:19.396],451.00,457.00
1513,[01:58:19.436],441.00,453.00
1514,[01:58:19.476],451.00,461.00
1515,[01:58:19.517],451.00,457.00
1516,[01:58:19.556],468.00,454.00
1517,[01:58:19.596],462.00,453.00
1518,[01:58:19.636],437.00,445.00
1519,[01:58:19.677],450.00,454.00
1520,[01:58:19.717],434.00,450.00
1521,[01:58:19.757],458.00,457.00
1522,[01:58:19.797],449.00,460.00
1523,[01:58:19.837],448.00,443.00
1524,[01:58:19.877],457.00,451.00
1525,[01:58:19.918],451.00,449.00
1526,[01:58:19.957],459.00,449.00
1527,[01:58:19.997],672.00,659.00
1528,[01:58:20.038],32631,32563
1529,[01:58:20.078],32481,32520
1530,[01:58:20.118],15178,15141
1531,[01:58:20.158],443.00,453.00
1532,[01:58:20.198],458.00,448.00
1533,[01:58:20.238],450.00,453.00
1534,[01:58:20.279],451.00,457.00
1535,[01:58:20.318],461.00,450.00
1536,[01:58:20.358],458.00,446.00
1537,[01:58:20.399],446.00,443.00
1538,[01:58:20.439],452.00,449.00
1539,[01:58:20.479],449.00,460.00
1540,[01:58:20.519],453.00,438.00
1541,[01:58:20.559],455.00,456.00
1542,[01:58:20.599],450.00,451.00
1543,[01:58:20.639],455.00,459.00
1544,[01:58:20.679],448.00,458.00
1545,[01:58:20.719],462.00,454.00
1546,[01:58:20.759],447.00,464.00
1547,[01:58:20.800],453.00,458.00
1548,[01:58:20.839],454.00,461.00
1549,[01:58:20.880],445.00,447.00
1550,[01:58:20.920],451.00,453.00
1551,[01:58:20.960],456.00,451.00
1552,[01:58:21.000],2837.0,2846.0
1553,[01:58:21.040],32556,32567
1554,[01:58:21.081],32588,32542
1555,[01:58:21.120],13737,13831
1556,[01:58:21.161],445.00,442.00
1557,[01:58:21.201],452.00,450.00
1558,[01:58:21.241],444.00,449.00
1559,[01:58:21.281],468.00,443.00
1560,[01:58:21.321],459.00,454.00
1561,[01:58:21.361],441.00,453.00
1562,[01:58:21.401],446.00,461.00
1563,[01:58:21.441],454.00,448.00
1564,[01:58:21.481],446.00,454.00
1565,[01:58:21.522],453.00,453.00
1566,[01:58:21.562],444.00,446.00
1567,[01:58:21.602],446.00,443.00
1568,[01:58:21.642],444.00,453.00
1569,[01:58:21.682],449.00,446.00
1570,[01:58:21.722],437.00,446.00
1571,[01:58:21.762],460.00,447.00
1572,[01:58:21.802],459.00,460.00
1573,[01:58:21.842],454.00,444.00
1574,[01:58:21.883],460.00,456.00
1575,[01:58:21.923],463.00,460.00
1576,[01:58:21.963],467.00,458.00
1577,[01:58:22.003],5038.0,5060.0
1578,[01:58:22.043],32513,32616
1579,[01:58:22.083],32580,32479
1580,[01:58:22.123],10728,10788
1581,[01:58:22.163],458.00,445.00
1582,[01:58:22.203],452.00,456.00
1583,[01:58:22.243],442.00,452.00
1584,[01:58:22.284],445.00,449.00
1585,[01:58:22.324],445.00,445.00
1586,[01:58:22.364],444.00,450.00
1587,[01:58:22.404],470.00,456.00
1588,[01:58:22.444],453.00,450.00
1589,[01:58:22.484],443.00,452.00
1590,[01:58:22.524],445.00,451.00
1591,[01:58:22.564],452.00,456.00
1592,[01:58:22.605],449.00,453.00
1593,[01:58:22.645],454.00,439.00
1594,[01:58:22.685],453.00,457.00
1595,[01:58:22.725],447.00,441.00
1596,[01:58:22.765],456.00,460.00
1597,[01:58:22.805],444.00,443.00
1598,[01:58:22.845],454.00,445.00
1599,[01:58:22.885],437.00,455.00
1600,[01:58:22.926],456.00,445.00
1601,[01:58:22.965],444.00,452.00
1602,[01:58:23.005],7271.0,7210.0
1603,[01:58:23.046],32541,32651
1604,[01:58:23.086],32516,32629
1605,[01:58:23.126],9432.0,9524.0
1606,[01:58:23.166],445.00,449.00
1607,[01:58:23.206],448.00,453.00
1608,[01:58:23.246],439.00,447.00
1609,[01:58:23.286],446.00,452.00
1610,[01:58:23.327],460.00,441.00
1611,[01:58:23.367],441.00,451.00
1612,[01:58:23.407],446.00,446.00
1613,[01:58:23.447],447.00,450.00
1614,[01:58:23.487],442.00,450.00
1615,[01:58:23.527],449.00,453.00
1616,[01:58:23.567],455.00,444.00
1617,[01:58:23.607],450.00,464.00
1618,[01:58:23.647],450.00,446.00
1619,[01:58:23.687],448.00,444.00
1620,[01:58:23.728],447.00,449.00
1621,[01:58:23.768],437.00,453.00
1622,[01:58:23.808],454.00,450.00
1623,[01:58:23.848],458.00,453.00
1624,[01:58:23.888],457.00,451.00
1625,[01:58:23.928],447.00,460.00
1626,[01:58:23.969],464.00,451.00
1627,[01:58:24.009],9431.0,9395.0
1628,[01:58:24.049],32626,32512
1629,[01:58:24.089],32386,32294
1630,[01:58:24.129],6517.0,6517.0
1631,[01:58:24.169],463.00,457.00
1632,[01:58:24.209],435.00,452.00
1633,[01:58:24.249],460.00,452.00
1634,[01:58:24.289],456.00,446.00
1635,[01:58:24.329],455.00,440.00
1636,[01:58:24.369],447.00,438.00
1637,[01:58:24.409],445.00,451.00
1638,[01:58:24.449],462.00,442.00
1639,[01:58:24.490],447.00,446.00
1640,[01:58:24.530],450.00,448.00
1641,[01:58:24.571],454.00,447.00
1642,[01:58:24.610],451.00,451.00
1643,[01:58:24.650],452.00,444.00
1644,[01:58:24.690],438.00,446.00
1645,[01:58:24.730],450.00,450.00
1646,[01:58:24.770],451.00,461.00
1647,[01:58:24.810],460.00,452.00
1648,[01:58:24.851],442.00,445.00
1649,[01:58:24.891],451.00,446.00
1650,[01:58:24.931],455.00,450.00
1651,[01:58:24.971],445.00,451.00
1652,[01:58:25.011],11526,11575
1653,[01:58:25.052],32499,32604
1654,[01:58:25.091],32532,32437
1655,[01:58:25.132],5153.0,5159.0
1656,[01:58:25.172],449.00,446.00
1657,[01:58:25.212],460.00,456.00
1658,[01:58:25.252],452.00,463.00
1659,[01:58:25.292],456.00,466.00
1660,[01:58:25.332],454.00,455.00
1661,[01:58:25.372],452.00,443.00
1662,[01:58:25.413],449.00,445.00
1663,[01:58:25.453],440.00,452.00
1664,[01:58:25.492],439.00,453.00
1665,[01:58:25.533],454.00,451.00
1666,[01:58:25.572],438.00,452.00
1667,[01:58:25.613],465.00,450.00
1668,[01:58:25.653],457.00,448.00
1669,[01:58:25.693],451.00,450.00
1670,[01:58:25.733],451.00,447.00
1671,[01:58:25.773],458.00,450.00
1672,[01:58:25.813],448.00,455.00
1673,[01:58:25.853],448.00,446.00
1674,[01:58:25.893],449.00,444.00
1675,[01:58:25.933],455.00,446.00
1676,[01:58:25.974],437.00,448.00
1677,[01:58:26.014],13854,13801
1678,[01:58:26.054],32642,32493
1679,[01:58:26.094],32544,32504
1680,[01:58:26.135],2166.0,2224.0
1681,[01:58:26.174],454.00,446.00
1682,[01:58:26.214],458.00,455.00
1683,[01:58:26.254],446.00,461.00
1684,[01:58:26.295],457.00,453.00
1685,[01:58:26.335],448.00,450.00
1686,[01:58:26.375],451.00,452.00
1687,[01:58:26.415],439.00,453.00
1688,[01:58:26.455],453.00,462.00
1689,[01:58:26.495],450.00,454.00
1690,[01:58:26.535],450.00,452.00
1691,[01:58:26.575],450.00,451.00
1692,[01:58:26.615],450.00,452.00
1693,[01:58:26.656],449.00,452.00
1694,[01:58:26.695],439.00,447.00
1695,[01:58:26.736],450.00,446.00
1696,[01:58:26.776],453.00,454.00
1697,[01:58:26.816],445.00,449.00
1698,[01:58:26.856],442.00,450.00
1699,[01:58:26.897],442.00,447.00
1700,[01:58:26.936],455.00,443.00
1701,[01:58:26.976],460.00,445.00
1702,[01:58:27.018],16124,16138
1703,[01:58:27.057],32590,32652
1704,[01:58:27.097],32577,32535
1705,[01:58:27.137],875.00,886.00
1706,[01:58:27.177],441.00,451.00
1707,[01:58:27.217],452.00,448.00
1708,[01:58:27.257],452.00,456.00
1709,[01:58:27.297],438.00,452.00
1710,[01:58:27.337],445.00,443.00
1711,[01:58:27.378],456.00,449.00
1712,[01:58:27.418],468.00,451.00
1713,[01:58:27.458],446.00,446.00
1714,[01:58:27.498],444.00,458.00
1715,[01:58:27.538],448.00,454.00
1716,[01:58:27.578],453.00,449.00
1717,[01:58:27.618],464.00,450.00
1718,[01:58:27.658],448.00,445.00
1719,[01:58:27.698],453.00,443.00
1720,[01:58:27.739],461.00,445.00
1721,[01:58:27.779],440.00,440.00
1722,[01:58:27.819],435.00,446.00
1723,[01:58:27.859],454.00,452.00
1724,[01:58:27.899],457.00,438.00
1725,[01:58:27.939],470.00,451.00
1726,[01:58:27.979],446.00,448.00
1727,[01:58:28.019],18309,18311
1728,[01:58:28.059],32534,32509
1729,[01:58:28.099],30818,30797
1730,[01:58:28.139],447.00,453.00
1731,[01:58:28.180],440.00,457.00
1732,[01:58:28.220],445.00,450.00
1733,[01:58:28.260],446.00,447.00
1734,[01:58:28.300],442.00,457.00
1735,[01:58:28.340],450.00,460.00
1736,[01:58:28.380],456.00,447.00
1737,[01:58:28.420],455.00,448.00
1738,[01:58:28.460],455.00,451.00
1739,[01:58:28.501],449.00,463.00
1740,[01:58:28.541],447.00,445.00
1741,[01:58:28.581],450.00,447.00
1742,[01:58:28.621],445.00,447.00
1743,[01:58:28.661],446.00,448.00
1744,[01:58:28.701],448.00,453.00
1745,[01:58:28.741],457.00,456.00
1746,[01:58:28.781],437.00,454.00
1747,[01:58:28.821],450.00,452.00
1748,[01:58:28.862],443.00,456.00
1749,[01:58:28.901],445.00,466.00
1750,[01:58:28.942],454.00,446.00
1751,[01:58:28.982],450.00,458.00
1752,[01:58:29.022],20384,20388
1753,[01:58:29.062],32627,32543
1754,[01:58:29.102],28674,28698
1755,[01:58:29.142],452.00,456.00
1756,[01:58:29.182],442.00,453.00
1757,[01:58:29.223],438.00,453.00
1758,[01:58:29.262],444.00,450.00
1759,[01:58:29.303],451.00,459.00
1760,[01:58:29.343],451.00,465.00
1761,[01:58:29.384],443.00,463.00
1762,[01:58:29.423],444.00,450.00
1763,[01:58:29.463],459.00,453.00
1764,[01:58:29.503],446.00,446.00
1765,[01:58:29.543],460.00,452.00
1766,[01:58:29.584],462.00,456.00
1767,[01:58:29.624],447.00,451.00
1768,[01:58:29.664],446.00,451.00
1769,[01:58:29.704],445.00,455.00
1770,[01:58:29.744],451.00,438.00
1771,[01:58:29.784],452.00,444.00
1772,[01:58:29.824],448.00,460.00
1773,[01:58:29.864],457.00,448.00
1774,[01:58:29.904],456.00,444.00
1775,[01:58:29.944],446.00,451.00
1776,[01:58:29.986],452.00,444.00
1777,[01:58:30.025],22700,22689
1778,[01:58:30.065],32555,32544
1779,[01:58:30.105],26491,26448
1780,[01:58:30.145],441.00,445.00
1781,[01:58:30.185],437.00,453.00
1782,[01:58:30.225],448.00,456.00
1783,[01:58:30.265],448.00,448.00
1784,[01:58:30.305],439.00,441.00
1785,[01:58:30.346],453.00,450.00
1786,[01:58:30.386],440.00,443.00
1787,[01:58:30.426],460.00,461.00
1788,[01:58:30.466],459.00,453.00
1789,[01:58:30.506],458.00,444.00
1790,[01:58:30.546],456.00,450.00
1791,[01:58:30.586],449.00,452.00
1792,[01:58:30.626],441.00,453.00
1793,[01:58:30.666],436.00,447.00
1794,[01:58:30.707],450.00,457.00
1795,[01:58:30.747],445.00,463.00
1796,[01:58:30.787],457.00,456.00
1797,[01:58:30.827],460.00,456.00
1798,[01:58:30.868],458.00,447.00
1799,[01:58:30.907],458.00,453.00
1800,[01:58:30.947],446.00,441.00
1801,[01:58:30.987],448.00,443.00
1802,[01:58:31.027],24879,24792
1803,[01:58:31.068],32500,32578
1804,[01:58:31.108],23546,23437
1805,[01:58:31.148],460.00,459.00
1806,[01:58:31.188],455.00,451.00
1807,[01:58:31.228],452.00,450.00
1808,[01:58:31.269],448.00,442.00
1809,[01:58:31.308],452.00,451.00
1810,[01:58:31.349],449.00,450.00
1811,[01:58:31.388],441.00,454.00
1812,[01:58:31.429],447.00,451.00
1813,[01:58:31.469],450.00,459.00
1814,[01:58:31.509],470.00,454.00
1815,[01:58:31.549],450.00,456.00
1816,[01:58:31.589],454.00,448.00
1817,[01:58:31.629],448.00,454.00
1818,[01:58:31.670],452.00,445.00
1819,[01:58:31.709],436.00,446.00
1820,[01:58:31.750],463.00,451.00
1821,[01:58:31.790],454.00,444.00
1822,[01:58:31.830],448.00,456.00
1823,[01:58:31.870],439.00,450.00
1824,[01:58:31.911],450.00,458.00
1825,[01:58:31.952],451.00,451.00
1826,[01:58:31.991],439.00,453.00
1827,[01:58:32.031],27087,27037
1828,[01:58:32.070],32543,32600
1829,[01:58:32.111],22103,22192
1830,[01:58:32.151],444.00,452.00
1831,[01:58:32.191],452.00,446.00
1832,[01:58:32.231],452.00,456.00
1833,[01:58:32.271],453.00,448.00
1834,[01:58:32.312],454.00,448.00
1835,[01:58:32.351],440.00,441.00
1836,[01:58:32.391],454.00,439.00
1837,[01:58:32.431],449.00,450.00
1838,[01:58:32.471],456.00,458.00
1839,[01:58:32.513],443.00,453.00
1840,[01:58:32.552],437.00,452.00
1841,[01:58:32.592],435.00,445.00
1842,[01:58:32.633],436.00,453.00
1843,[01:58:32.672],455.00,445.00
1844,[01:58:32.712],446.00,460.00
1845,[01:58:32.752],440.00,457.00
1846,[01:58:32.793],455.00,450.00
1847,[01:58:32.832],454.00,457.00
1848,[01:58:32.872],454.00,446.00
1849,[01:58:32.913],451.00,440.00
1850,[01:58:32.953],457.00,448.00
1851,[01:58:32.993],450.00,453.00
1852,[01:58:33.033],29356,29253
1853,[01:58:33.073],32572,32451
1854,[01:58:33.113],19235,19249
1855,[01:58:33.153],462.00,456.00
1856,[01:58:33.193],449.00,447.00
1857,[01:58:33.234],449.00,445.00
1858,[01:58:33.274],456.00,447.00
1859,[01:58:33.314],457.00,452.00
1860,[01:58:33.354],444.00,448.00
1861,[01:58:33.395],451.00,448.00
1862,[01:58:33.434],455.00,460.00
1863,[01:58:33.474],441.00,458.00
1864,[01:58:33.515],449.00,453.00
1865,[01:58:33.554],451.00,449.00
1866,[01:58:33.595],440.00,458.00
1867,[01:58:33.635],444.00,457.00
1868,[01:58:33.675],447.00,439.00
1869,[01:58:33.715],439.00,444.00
1870,[01:58:33.755],441.00,448.00
1871,[01:58:33.795],447.00,438.00
1872,[01:58:33.835],454.00,443.00
1873,[01:58:33.875],460.00,453.00
1874,[01:58:33.915],452.00,450.00
1875,[01:58:33.955],441.00,456.00
1876,[01:58:33.996],458.00,448.00
1877,[01:58:34.036],31502,31434
1878,[01:58:34.076],32589,32510
1879,[01:58:34.116],17865,17833
1880,[01:58:34.156],452.00,450.00
1881,[01:58:34.196],448.00,450.00
1882,[01:58:34.236],457.00,445.00
1883,[01:58:34.277],456.00,450.00
1884,[01:58:34.317],453.00,451.00
1885,[01:58:34.357],448.00,444.00
1886,[01:58:34.397],464.00,454.00
1887,[01:58:34.437],459.00,446.00
1888,[01:58:34.478],453.00,449.00
1889,[01:58:34.517],443.00,445.00
1890,[01:58:34.557],447.00,453.00
1891,[01:58:34.598],447.00,457.00
1892,[01:58:34.637],450.00,447.00
1893,[01:58:34.678],448.00,456.00
1894,[01:58:34.717],452.00,452.00
1895,[01:58:34.757],454.00,450.00
1896,[01:58:34.798],436.00,445.00
1897,[01:58:34.838],432.00,451.00
1898,[01:58:34.878],449.00,450.00
1899,[01:58:34.918],437.00,452.00
1900,[01:58:34.958],452.00,456.00
1901,[01:58:34.998],1457.0,1448.0
1902,[01:58:35.038],32620,32590
1903,[01:58:35.078],32430,32548
1904,[01:58:35.119],14840,14851
1905,[01:58:35.159],441.00,453.00
1906,[01:58:35.199],446.00,449.00
1907,[01:58:35.239],457.00,446.00
1908,[01:58:35.279],444.00,447.00
1909,[01:58:35.319],450.00,448.00
1910,[01:58:35.359],447.00,450.00
1911,[01:58:35.399],446.00,449.00
1912,[01:58:35.440],455.00,443.00
1913,[01:58:35.480],451.00,443.00
1914,[01:58:35.520],443.00,452.00
1915,[01:58:35.560],443.00,448.00
1916,[01:58:35.600],463.00,445.00
1917,[01:58:35.640],459.00,446.00
1918,[01:58:35.680],455.00,452.00
1919,[01:58:35.720],446.00,447.00
1920,[01:58:35.760],449.00,454.00
